,station,month,Average_CO,Max_CO,Min_CO,STD_CO,Average_SO2,Max_SO2,Min_SO2,STD_SO2
0,Aotizhongxin,1,896.514745308311,2200.0,100.0,485.2359992486856,16.394101876675602,42.0,2.0,10.38521197816063
1,Aotizhongxin,2,754.7375160051216,2200.0,100.0,495.68926017531055,14.492957746478874,42.0,2.0,10.071315930449371
2,Aotizhongxin,3,814.4080604534005,2200.0,200.0,498.7036525499722,15.040239294710329,42.0,2.0,10.694816707945588
3,Aotizhongxin,4,763.9901088031652,2200.0,100.0,439.6704153372147,13.06003956478734,42.0,2.0,10.130701306148373
4,Aotizhongxin,5,678.7532795156408,2200.0,100.0,385.146274653143,11.461957618567103,42.0,2.0,9.525334629309514
5,Aotizhongxin,6,746.7546766435062,2200.0,100.0,435.1029237120447,6.784607161945484,41.0,2.0,6.679131707563949
6,Aotizhongxin,7,788.2788279773157,2200.0,100.0,396.01197148099186,5.331758034026465,39.0,2.0,4.7682512795393865
7,Aotizhongxin,8,736.9555455770094,2200.0,100.0,396.58728278360593,4.150336775931747,30.0,1.0,3.4338942166588495
8,Aotizhongxin,9,821.9547306473518,2200.0,100.0,464.95034480137457,6.483476686283386,39.0,1.0,6.114237323829154
9,Aotizhongxin,10,881.7731550272412,2200.0,100.0,510.33387121716504,7.434734026745914,42.0,0.5712,7.646884172596321
10,Aotizhongxin,11,968.6038744154977,2200.0,100.0,571.3786112945353,10.615364061456246,42.0,1.0,8.089876432073659
11,Aotizhongxin,12,879.1590493601462,2200.0,100.0,513.4110195103245,15.247714808043876,42.0,2.0,10.097687056234918
12,Changping,1,875.4448398576512,2200.0,100.0,515.0739491171922,17.12455516014235,42.0,2.0,11.08999712424644
13,Changping,2,814.3530997304582,2200.0,100.0,488.8812823964945,14.563342318059298,42.0,2.0,10.854243224152064
14,Changping,3,846.3632432432432,2200.0,200.0,518.757282733082,14.417405405405406,42.0,2.0,11.25516333757597
15,Changping,4,739.4348599377502,2200.0,100.0,403.0440073301453,10.104935526900844,42.0,2.0,8.932208982235936
16,Changping,5,638.2669138090824,2100.0,100.0,381.97989583763297,9.222752548656164,42.0,2.0,9.157000581137806
17,Changping,6,676.5808,2200.0,100.0,368.4164174158885,5.08,41.0,2.0,5.942359200760629
18,Changping,7,770.3804761904762,2200.0,100.0,393.7914051822234,4.392380952380952,40.0,2.0,4.500102063065649
19,Changping,8,690.7212317666126,2200.0,100.0,379.3181411588206,4.105875202593192,42.0,1.0,4.882836630361613
20,Changping,9,800.1265551265551,2200.0,100.0,440.290075892832,4.66023166023166,40.0,1.0,5.048643359818228
21,Changping,10,878.384912959381,2200.0,100.0,503.86210668122567,5.90715667311412,41.0,1.0,5.964585619034359
22,Changping,11,1048.6796785304248,2200.0,200.0,569.4863830933874,11.9601607347876,42.0,1.0,9.972437464930799
23,Changping,12,937.7928949357521,2200.0,100.0,565.8527866301223,16.197278911564627,42.0,2.0,10.890651315912287
24,Dingling,1,782.4267782426779,2200.0,100.0,596.3923374287607,16.47017334130305,42.0,1.0,10.86036100588138
25,Dingling,2,707.3126142595978,2200.0,100.0,548.7526035434017,12.778793418647167,42.0,2.0,10.757660401953663
26,Dingling,3,762.0938875305624,2200.0,100.0,522.7814048408336,12.722933985330075,42.0,2.0,10.454920806889023
27,Dingling,4,595.9461264470169,2200.0,100.0,371.46798084552603,8.547105966162066,42.0,2.0,8.020695841181082
28,Dingling,5,506.487106017192,2100.0,100.0,374.93181106544046,7.692168099331423,42.0,2.0,8.41254130436935
29,Dingling,6,542.6555183946489,2200.0,100.0,419.23358474687427,4.364070711896799,42.0,2.0,4.825669200243537
30,Dingling,7,637.9564516129033,2200.0,100.0,380.90427320124644,3.999462365591398,37.0,2.0,3.816458755180991
31,Dingling,8,618.440594059406,2200.0,100.0,319.06390724579296,4.053011551155116,41.0,1.0,4.2758088689717075
32,Dingling,9,625.5538461538462,2100.0,100.0,401.624313281674,4.1290598290598295,34.0,1.0,4.357428626787561
33,Dingling,10,806.3176895306859,2200.0,100.0,461.0693955507163,5.593261131167268,38.0,2.0,5.09400165040907
34,Dingling,11,905.2221581073284,2200.0,100.0,594.5359551809805,11.480669359492211,42.0,1.0,9.197179330362108
35,Dingling,12,841.8319719953325,2200.0,100.0,602.9266275094467,14.835472578763127,42.0,1.0,10.548794229704582
36,Dongsi,1,882.641252552757,2200.0,100.0,564.8824670620165,15.421579305650102,42.0,1.0,10.373692292622898
37,Dongsi,2,776.8558951965066,2200.0,100.0,521.4998940093344,12.880640465793304,42.0,2.0,9.984708812854143
38,Dongsi,3,850.2636419374617,2200.0,100.0,523.1402389334914,15.055732679337831,42.0,2.0,11.308223401698823
39,Dongsi,4,820.968559361802,2200.0,100.0,462.20021721658657,13.732050680431723,42.0,2.0,10.684111342662376
40,Dongsi,5,791.9681978798586,2200.0,100.0,429.0040244898854,12.318273599192327,42.0,2.0,10.625308991245811
41,Dongsi,6,892.0030048076923,2200.0,100.0,427.3796813765292,7.525841346153846,42.0,2.0,8.169833222165613
42,Dongsi,7,975.0151607034567,2200.0,200.0,399.4463892095385,6.016373559733172,41.0,2.0,5.453942076246139
43,Dongsi,8,893.569844789357,2200.0,200.0,392.7000040046764,5.282882483370288,39.0,1.0,5.117513436502666
44,Dongsi,9,965.0343915343915,2200.0,200.0,470.3444379422877,6.963403880070547,42.0,1.0,7.078797860169892
45,Dongsi,10,928.2630029440628,2200.0,100.0,523.8223114349049,8.393032384690873,42.0,1.0,7.724012792454351
46,Dongsi,11,1078.2394366197184,2200.0,100.0,583.480359156914,11.858380281690142,41.0,2.0,8.801792464103377
47,Dongsi,12,917.008547008547,2200.0,200.0,543.7029911752765,15.152991452991452,42.0,2.0,9.860689792843518
48,Guanyuan,1,832.4478178368122,2200.0,100.0,528.0040197781465,16.463630613535738,42.0,1.0,10.737876848584458
49,Guanyuan,2,735.9721342621913,2200.0,100.0,514.3423223608484,13.658644711842939,42.0,1.0,10.86035946893455
50,Guanyuan,3,806.9134448932487,2200.0,100.0,505.05949905404196,14.751759953837276,42.0,2.0,11.519068615222587
51,Guanyuan,4,774.7905308464849,2200.0,100.0,448.0700486998341,12.464234146341463,42.0,1.7136,10.243125168519269
52,Guanyuan,5,737.3571048430016,2200.0,100.0,394.38846136419284,10.636455561468868,42.0,2.0,9.58039445035026
53,Guanyuan,6,881.3262586377098,2200.0,100.0,439.98066699560377,7.126357354392892,42.0,2.0,7.5062986725561
54,Guanyuan,7,937.8089887640449,2200.0,100.0,400.17516833776403,6.32046897899365,40.0,2.0,5.001552659696058
55,Guanyuan,8,819.0093141405589,2200.0,100.0,396.7447389498806,4.660160880609652,28.0,1.0,3.710471527661681
56,Guanyuan,9,895.6413321947053,2200.0,100.0,452.86430706638055,5.898804440649018,42.0,1.0,5.529966388523053
57,Guanyuan,10,919.6563921172309,2200.0,100.0,528.569700593556,6.5229914098029305,41.0,1.0,6.196059606438515
58,Guanyuan,11,972.4919093851132,2200.0,100.0,570.4743652362945,10.291909385113268,42.0,1.0,8.731432886465488
59,Guanyuan,12,889.9006622516556,2200.0,100.0,546.8269455995156,15.10430463576159,42.0,2.0,10.828667100099793
60,Gucheng,1,997.360912981455,2200.0,100.0,548.9463240162792,17.281027104136946,42.0,1.0,10.875102871713771
61,Gucheng,2,878.9264413518887,2200.0,100.0,546.1402187027992,14.737574552683897,42.0,2.0,10.522178154039512
62,Gucheng,3,905.7366526694661,2200.0,100.0,542.5331725633426,14.506718656268747,42.0,2.0,10.721612753809318
63,Gucheng,4,793.1194968553459,2200.0,200.0,428.11341257742714,11.05788679245283,42.0,2.0,8.618346400882556
64,Gucheng,5,710.5820610687023,2200.0,100.0,382.4523992004426,10.036593511450382,42.0,2.0,8.914617083526656
65,Gucheng,6,835.0942828485456,2200.0,100.0,401.6809850934723,4.87913741223671,41.0,2.0,5.504633459323139
66,Gucheng,7,836.3673563218391,2200.0,100.0,404.3872666138259,3.6308045977011494,34.0,2.0,3.03525255818608
67,Gucheng,8,804.1978387364921,2200.0,100.0,357.99604048308123,2.8817123857024103,39.0,1.0,1.9420604769259358
68,Gucheng,9,848.2168960607498,2200.0,100.0,430.6916563926877,4.383483626008543,34.0,1.0,4.273760197432593
69,Gucheng,10,941.2734768666973,2200.0,100.0,507.48352920778785,5.282180485570316,41.0,1.0,5.49152237314415
70,Gucheng,11,1069.969040247678,2200.0,100.0,592.3267597929362,10.559566563467493,42.0,1.0,8.94438307875953
71,Gucheng,12,911.9507908611599,2200.0,100.0,623.5325564391711,13.007029876977153,42.0,1.0,9.335906029437504
72,Huairou,1,909.4086021505376,2200.0,100.0,597.6578589231752,12.864516129032259,42.0,1.0,11.011653518606268
73,Huairou,2,793.3411903358868,2200.0,100.0,567.1192698062821,9.921744254566883,42.0,1.0,10.045199960120318
74,Huairou,3,837.8262960983432,2200.0,100.0,544.9528000687749,12.772848743987172,42.0,2.0,11.213495991955455
75,Huairou,4,710.3835548990645,2200.0,100.0,389.66679729185506,9.799950763170852,42.0,2.0,9.191712105268858
76,Huairou,5,648.470498474059,2200.0,100.0,391.27826518809616,8.577314343845371,42.0,2.0,8.746663725128348
77,Huairou,6,743.7,2200.0,100.0,432.4885055533355,4.8743169398907105,40.0,2.0,4.881039341149537
78,Huairou,7,793.2263964409293,2200.0,100.0,375.40059994673834,3.717251606524963,40.0,2.0,3.6574563703961327
79,Huairou,8,683.0685618729098,2200.0,100.0,342.2221016493829,3.164548494983278,24.0,1.0,2.487949519490432
80,Huairou,9,758.2048140043763,2200.0,100.0,447.182304210746,4.4161925601750545,40.0,1.0,5.273816003081445
81,Huairou,10,812.8038194444445,2200.0,100.0,506.51521044638224,5.543402777777778,39.0,1.0,6.245994277680202
82,Huairou,11,932.1692080668962,2200.0,100.0,577.8456347968315,8.42203639940974,42.0,1.0,9.0155130074802
83,Huairou,12,1002.8650137741047,2200.0,100.0,596.3898658313693,12.787878787878787,42.0,1.0,11.009200655870542
84,Nongzhanguan,1,793.6042638241173,2200.0,100.0,507.9229606496844,16.23317788141239,42.0,1.0,10.530286091127993
85,Nongzhanguan,2,732.2134387351779,2200.0,100.0,505.60129708979775,14.179183135704875,42.0,2.0,10.300215426355237
86,Nongzhanguan,3,771.852195423624,2200.0,100.0,497.237957553894,15.218367346938775,42.0,2.0,11.468691359139912
