EmployeeId,MonthlyIncome,DailyRate,Department,EnvironmentSatisfaction,JobSatisfaction,StockOptionLevel,WorkLifeBalance,NumCompaniesWorked,YearsInCurrentRole,PercentSalaryHike,YearsWithCurrManager,Attrition
1,2991,1444,Human Resources,4,2,1,3,0,2,11,2,0.0
2,4777,1141,Research & Development,1,2,0,1,5,0,15,0,1.0
3,2461,1323,Research & Development,1,3,3,4,9,0,12,7,1.0
4,13525,555,Sales,3,2,1,4,5,4,14,8,0.0
5,2001,1194,Research & Development,3,3,3,3,2,3,14,2,0.0
6,2804,352,Human Resources,4,2,0,3,1,0,11,0,0.0
7,7457,1124,Sales,2,4,3,2,2,3,22,2,0.0
8,19859,725,Research & Development,4,1,1,3,5,2,13,4,1.0
9,2153,635,Research & Development,2,4,0,3,1,1,13,7,0.0
10,11159,1018,Research & Development,3,4,0,3,3,7,15,7,0.0
11,4256,583,Sales,3,1,0,4,1,2,12,3,0.0
12,2973,129,Research & Development,1,1,0,3,1,0,19,0,1.0
13,4591,571,Sales,3,3,1,2,3,4,17,2,0.0
14,15992,810,Research & Development,1,4,0,3,2,0,14,0,0.0
15,5855,616,Research & Development,4,4,2,1,0,7,11,5,0.0
16,5329,573,Research & Development,2,4,3,3,7,11,12,9,0.0
17,4553,408,Research & Development,4,3,0,3,1,7,11,10,0.0
18,19406,821,Research & Development,1,1,1,2,4,2,11,2,0.0
19,5206,772,Research & Development,4,3,2,3,1,7,17,7,0.0
20,18711,1098,Research & Development,1,3,1,4,2,0,13,0,0.0
21,2725,691,Research & Development,2,4,2,3,1,5,11,4,0.0
22,13237,302,Research & Development,2,3,0,3,7,6,15,13,0.0
23,6230,267,Sales,4,4,0,3,7,3,14,10,0.0
24,5228,588,Sales,3,2,0,3,1,12,11,9,0.0
25,2293,813,Research & Development,2,4,1,2,2,0,16,0,1.0
26,3211,722,Research & Development,3,1,1,2,1,6,14,4,0.0
27,2296,350,Research & Development,3,1,3,3,0,1,14,0,0.0
28,17123,412,Research & Development,3,2,2,3,6,9,13,2,0.0
29,2267,818,Human Resources,2,3,0,2,8,2,17,2,0.0
30,19658,1176,Human Resources,4,3,1,3,3,2,11,0,0.0
31,6586,1425,Research & Development,3,4,1,2,0,8,17,11,0.0
32,3491,853,Research & Development,3,3,3,2,1,7,13,9,0.0
33,2844,433,Human Resources,3,3,1,4,1,6,13,0,0.0
34,2909,1496,Sales,1,3,1,4,3,2,15,2,1.0
35,2695,192,Research & Development,3,4,1,1,0,2,18,2,0.0
36,6653,845,Sales,4,4,0,3,4,0,15,0,0.0
37,6162,427,Research & Development,1,4,1,3,1,8,22,8,0.0
38,4876,990,Research & Development,4,2,1,3,5,4,12,2,0.0
39,4221,120,Sales,2,3,0,4,1,4,15,4,0.0
40,6172,249,Sales,2,3,0,2,4,7,18,7,1.0
41,3875,316,Sales,4,2,1,3,7,2,15,2,0.0
42,9613,1132,Research & Development,3,4,3,2,0,10,17,7,0.0
