EmployeeId,MonthlyIncome,DailyRate,Department,EnvironmentSatisfaction,JobSatisfaction,StockOptionLevel,WorkLifeBalance,NumCompaniesWorked,YearsInCurrentRole,PercentSalaryHike,YearsWithCurrManager
258,6380,575,Sales,3,3,2,3,2,4,12,0
1048,8633,1180,Research & Development,1,3,0,3,2,14,23,11
564,9924,1245,Sales,3,2,1,3,0,8,11,7
694,6949,1069,Research & Development,2,4,0,3,0,0,14,4
1205,2258,982,Research & Development,4,3,1,3,6,0,12,7
19,5206,772,Research & Development,4,3,2,3,1,7,17,7
268,4559,542,Sales,2,3,1,3,3,2,11,2
805,3221,1207,Research & Development,4,3,3,3,1,8,11,8
663,3477,741,Research & Development,2,3,1,4,1,2,14,3
290,2073,807,Human Resources,3,1,0,3,4,2,22,2
